Price,Flight time,Stop over,Stop over place,Airline,Departure time,Date of flight,Destination place,Origin place,Airline 1,Airline 2,Airline 3,Flight type,Class,Days to date,Day of week,Page,Scrapped date
"MXN$24,652",18 h 25 min,1 escala,Stop over place not found and Stop over place not found,United,05:45:00,2025-02-24,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,9,Monday,Expedia,2025-02-14
"MXN$27,036",18 h 30 min,1 escala,Stop over place not found and Stop over place not found,Japan Airlines operado por American Airlines,06:00:00,2025-02-24,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,9,Monday,Expedia,2025-02-14
"MXN$27,036",18 h 30 min,1 escala,Stop over place not found and Stop over place not found,Aerolíneas múltiples operado por American Airlines,06:00:00,2025-02-24,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),American Airlines 1066,Japan Airlines 7011 operado por American Airlines,Enchufe en el asiento,Morning flight,Económica,9,Monday,Expedia,2025-02-14
"MXN$27,132",19 h 25 min,1 escala,Stop over place not found and Stop over place not found,American Airlines,08:00:00,2025-02-24,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,9,Monday,Expedia,2025-02-14
"MXN$27,036",21 h 25 min,1 escala,Stop over place not found and Stop over place not found,Japan Airlines operado por American Airlines,06:00:00,2025-02-24,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,9,Monday,Expedia,2025-02-14
"MXN$25,324",31 h 25 min,1 escala,Stop over place not found and Stop over place not found,Japan Airlines operado por American Airlines y Japan Airlines,17:00:00,2025-02-24,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Day flight,Económica,9,Monday,Expedia,2025-02-14
"MXN$24,652",21 h 55 min,1 escala,Stop over place not found and Stop over place not found,United operado por United y All Nippon Airways,08:10:00,2025-02-24,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,9,Monday,Expedia,2025-02-14
"MXN$24,652",29 h 50 min,1 escala,Stop over place not found and Stop over place not found,United,18:10:00,2025-02-24,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,9,Monday,Expedia,2025-02-14
"MXN$136,375",15 h 35 min,Vuelo sin escalas,Stop over place not found and Stop over place not found,Aeromexico,23:45:00,2025-02-24,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,9,Monday,Expedia,2025-02-14
"MXN$24,652",29 h 40 min,1 escala,Stop over place not found and Stop over place not found,United,18:10:00,2025-02-24,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,9,Monday,Expedia,2025-02-14
"MXN$24,652",34 h 10 min,1 escala,Stop over place not found and Stop over place not found,United,13:50:00,2025-02-24,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Day flight,Económica,9,Monday,Expedia,2025-02-14
"MXN$27,036",31 h 30 min,1 escala,Stop over place not found and Stop over place not found,Japan Airlines operado por American Airlines,17:00:00,2025-02-24,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Day flight,Económica,9,Monday,Expedia,2025-02-14
"MXN$24,652",34 h,1 escala,Stop over place not found and Stop over place not found,United,13:50:00,2025-02-24,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Day flight,Económica,9,Monday,Expedia,2025-02-14
"MXN$14,938",19 h 20 min,1 escala,Stop over place not found and Stop over place not found,Aerolíneas múltiples,07:20:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),Aeromexico 646,Singapore Airlines 11,Enchufe en el asiento,Morning flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$31,025",15 h 35 min,Vuelo sin escalas,Stop over place not found and Stop over place not found,Aeromexico,23:45:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$31,710",14 h 45 min,Vuelo sin escalas,Stop over place not found and Stop over place not found,All Nippon Airways,00:50:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$18,255",32 h 5 min,2 escalas,1 h 45 min en CUN and 4 h 40 min en IST,Turkish Airlines,09:35:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$18,717",24 h 30 min,1 escala,Stop over place not found and Stop over place not found,Air Canada,01:10:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$18,255",36 h 5 min,2 escalas,1 h 45 min en CUN and 9 h 5 min en IST,Turkish Airlines,05:35:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$17,411",42 h 15 min,1 escala,Stop over place not found and Stop over place not found,Air Canada,07:15:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$24,652",17 h 45 min,1 escala,Stop over place not found and Stop over place not found,United,06:05:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$24,689",17 h 45 min,1 escala,Stop over place not found and Stop over place not found,Aerolíneas múltiples operado por United,06:05:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),United 820,All Nippon Airways 7011 operado por United,Enchufe en el asiento,Morning flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$25,324",18 h 25 min,1 escala,Stop over place not found and Stop over place not found,Japan Airlines operado por American Airlines y Japan Airlines,06:00:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$25,324",18 h 25 min,1 escala,Stop over place not found and Stop over place not found,Aerolíneas múltiples,06:00:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),American Airlines 1066,Japan Airlines 11,Enchufe en el asiento,Morning flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$24,652",17 h 55 min,1 escala,Stop over place not found and Stop over place not found,United,06:05:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$24,652",18 h 15 min,1 escala,Stop over place not found and Stop over place not found,United operado por United y All Nippon Airways,06:05:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$24,652",18 h 25 min,1 escala,Stop over place not found and Stop over place not found,United,05:45:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$24,652",19 h 40 min,1 escala,Stop over place not found and Stop over place not found,United operado por United y All Nippon Airways,18:10:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$26,897",18 h 35 min,1 escala,Stop over place not found and Stop over place not found,United operado por United y All Nippon Airways,05:45:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$27,036",18 h 30 min,1 escala,Stop over place not found and Stop over place not found,Japan Airlines operado por American Airlines,06:00:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$24,652",21 h 55 min,1 escala,Stop over place not found and Stop over place not found,United operado por United y All Nippon Airways,08:10:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$17,220",24 h 20 min,2 escalas,3 h 10 min en YYZ and 1 h 12 min en YUL,Air Canada,01:10:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$17,220",24 h 20 min,2 escalas,2 h 10 min en YYZ and 2 h 2 min en YUL,Air Canada,01:10:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$24,652",29 h 50 min,1 escala,Stop over place not found and Stop over place not found,United,18:10:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$24,652",30 h 30 min,1 escala,Stop over place not found and Stop over place not found,United,17:40:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Day flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$17,508",23 h 50 min,2 escalas,1 h 40 min en YYZ and 2 h 15 min en YVR,Air Canada,01:10:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$24,652",24 h,1 escala,Stop over place not found and Stop over place not found,United operado por United y All Nippon Airways,13:50:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Day flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$24,652",32 h 55 min,1 escala,Stop over place not found and Stop over place not found,United,15:15:00,2025-02-25,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Day flight,Económica,10,Tuesday,Expedia,2025-02-14
"MXN$16,778",19 h 20 min,1 escala,Stop over place not found and Stop over place not found,Aerolíneas múltiples,07:20:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),Aeromexico 646,Singapore Airlines 11,Enchufe en el asiento,Morning flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$24,074",15 h 35 min,Vuelo sin escalas,Stop over place not found and Stop over place not found,Aeromexico,23:45:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$23,967",14 h 45 min,Vuelo sin escalas,Stop over place not found and Stop over place not found,All Nippon Airways,00:50:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$16,778",30 h 40 min,1 escala,Stop over place not found and Stop over place not found,Aerolíneas múltiples,20:00:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),Aeromexico 648,Singapore Airlines 11,Enchufe en el asiento,Night flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$18,717",24 h 30 min,1 escala,Stop over place not found and Stop over place not found,Air Canada,01:10:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$16,258",23 h 50 min,2 escalas,1 h 40 min en YYZ and 2 h 15 min en YVR,Air Canada,01:10:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$24,652",17 h 55 min,1 escala,Stop over place not found and Stop over place not found,United,06:05:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$26,897",17 h 45 min,1 escala,Stop over place not found and Stop over place not found,United,06:05:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$24,652",18 h 25 min,1 escala,Stop over place not found and Stop over place not found,United,05:45:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$17,220",24 h 20 min,2 escalas,3 h 10 min en YYZ and 1 h 12 min en YUL,Air Canada,01:10:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$17,220",24 h 20 min,2 escalas,2 h 10 min en YYZ and 2 h 2 min en YUL,Air Canada,01:10:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$27,036",18 h 30 min,1 escala,Stop over place not found and Stop over place not found,Japan Airlines operado por American Airlines,06:00:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$24,652",21 h 55 min,1 escala,Stop over place not found and Stop over place not found,United operado por United y All Nippon Airways,08:10:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$31,271",18 h 25 min,1 escala,Stop over place not found and Stop over place not found,Japan Airlines operado por American Airlines y Japan Airlines,06:00:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$31,271",18 h 25 min,1 escala,Stop over place not found and Stop over place not found,Aerolíneas múltiples,06:00:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),American Airlines 1066,Japan Airlines 11,Enchufe en el asiento,Morning flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$26,042",30 h 30 min,1 escala,Stop over place not found and Stop over place not found,United,17:40:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Day flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$26,042",32 h 55 min,1 escala,Stop over place not found and Stop over place not found,United,15:15:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Day flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$32,432",18 h 15 min,1 escala,Stop over place not found and Stop over place not found,All Nippon Airways operado por United y All Nippon Airways,06:05:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$26,042",33 h 20 min,1 escala,Stop over place not found and Stop over place not found,United operado por United y All Nippon Airways,14:40:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Day flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$32,395",19 h 40 min,1 escala,Stop over place not found and Stop over place not found,United operado por United y All Nippon Airways,18:10:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$26,042",35 h 55 min,1 escala,Stop over place not found and Stop over place not found,United,12:15:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Day flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$28,288",30 h 10 min,1 escala,Stop over place not found and Stop over place not found,United operado por United y All Nippon Airways,18:10:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$29,058",32 h 5 min,2 escalas,1 h 45 min en CUN and 4 h 40 min en IST,Turkish Airlines,09:35:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$29,271",23 h 10 min,1 escala,Stop over place not found and Stop over place not found,American Airlines,00:25:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$26,042",36 h 5 min,1 escala,Stop over place not found and Stop over place not found,United,14:40:00,2025-02-26,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Day flight,Económica,11,Wednesday,Expedia,2025-02-14
"MXN$16,778",19 h 20 min,1 escala,Stop over place not found and Stop over place not found,Aerolíneas múltiples,07:20:00,2025-02-27,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),Aeromexico 646,Singapore Airlines 11,Enchufe en el asiento,Morning flight,Económica,12,Thursday,Expedia,2025-02-14
"MXN$25,464",15 h 35 min,Vuelo sin escalas,Stop over place not found and Stop over place not found,Aeromexico,23:45:00,2025-02-27,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,12,Thursday,Expedia,2025-02-14
"MXN$31,710",14 h 45 min,Vuelo sin escalas,Stop over place not found and Stop over place not found,All Nippon Airways,00:50:00,2025-02-27,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,12,Thursday,Expedia,2025-02-14
"MXN$25,645",18 h 30 min,1 escala,Stop over place not found and Stop over place not found,Japan Airlines operado por American Airlines,06:00:00,2025-02-27,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,12,Thursday,Expedia,2025-02-14
"MXN$25,742",19 h 25 min,1 escala,Stop over place not found and Stop over place not found,American Airlines,08:00:00,2025-02-27,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,12,Thursday,Expedia,2025-02-14
"MXN$25,645",21 h 25 min,1 escala,Stop over place not found and Stop over place not found,Japan Airlines operado por American Airlines,06:00:00,2025-02-27,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,12,Thursday,Expedia,2025-02-14
"MXN$23,261",21 h 55 min,1 escala,Stop over place not found and Stop over place not found,United operado por United y All Nippon Airways,08:10:00,2025-02-27,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,12,Thursday,Expedia,2025-02-14
"MXN$23,298",21 h 55 min,1 escala,Stop over place not found and Stop over place not found,Aerolíneas múltiples,08:10:00,2025-02-27,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),United 1594,All Nippon Airways 111,Enchufe en el asiento,Morning flight,Económica,12,Thursday,Expedia,2025-02-14
"MXN$27,860",18 h 25 min,1 escala,Stop over place not found and Stop over place not found,United,05:45:00,2025-02-27,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,12,Thursday,Expedia,2025-02-14
"MXN$27,897",18 h 25 min,1 escala,Stop over place not found and Stop over place not found,Aerolíneas múltiples operado por United,05:45:00,2025-02-27,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),United 1085,All Nippon Airways 6451 operado por United,Enchufe en el asiento,Morning flight,Económica,12,Thursday,Expedia,2025-02-14
"MXN$32,432",18 h 35 min,1 escala,Stop over place not found and Stop over place not found,Aerolíneas múltiples,05:45:00,2025-02-27,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),United 1085,All Nippon Airways 113,Enchufe en el asiento,Morning flight,Económica,12,Thursday,Expedia,2025-02-14
"MXN$32,432",18 h 15 min,1 escala,Stop over place not found and Stop over place not found,Aerolíneas múltiples,06:05:00,2025-02-27,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),United 820,All Nippon Airways 7,Enchufe en el asiento,Morning flight,Económica,12,Thursday,Expedia,2025-02-14
"MXN$27,732",23 h 10 min,1 escala,Stop over place not found and Stop over place not found,American Airlines,00:25:00,2025-02-27,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,12,Thursday,Expedia,2025-02-14
"MXN$39,185",18 h 25 min,1 escala,Stop over place not found and Stop over place not found,Aerolíneas múltiples,06:00:00,2025-02-27,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),American Airlines 1066,Japan Airlines 11,Enchufe en el asiento,Morning flight,Económica,12,Thursday,Expedia,2025-02-14
"MXN$27,860",36 h 20 min,1 escala,Stop over place not found and Stop over place not found,United,11:00:00,2025-02-27,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,12,Thursday,Expedia,2025-02-14
"MXN$26,512",47 h 10 min,2 escalas,1 h 45 min en CUN and 20 h 20 min en IST,Turkish Airlines,05:35:00,2025-02-27,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,12,Thursday,Expedia,2025-02-14
"MXN$32,395",29 h 50 min,1 escala,Stop over place not found and Stop over place not found,United,18:10:00,2025-02-27,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Night flight,Económica,12,Thursday,Expedia,2025-02-14
"MXN$27,860",38 h 15 min,1 escala,Stop over place not found and Stop over place not found,United,09:05:00,2025-02-27,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,12,Thursday,Expedia,2025-02-14
"MXN$27,860",39 h 25 min,1 escala,Stop over place not found and Stop over place not found,United operado por United y All Nippon Airways,14:40:00,2025-02-27,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Day flight,Económica,12,Thursday,Expedia,2025-02-14
"MXN$32,395",30 h 30 min,1 escala,Stop over place not found and Stop over place not found,United,17:40:00,2025-02-27,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Day flight,Económica,12,Thursday,Expedia,2025-02-14
"MXN$31,891",25 h 50 min,1 escala,Stop over place not found and Stop over place not found,Aerolíneas múltiples,00:25:00,2025-02-27,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),American Airlines 2996,Japan Airlines 5,Enchufe en el asiento,Night flight,Económica,12,Thursday,Expedia,2025-02-14
"MXN$23,261",21 h,2 escalas,1 h 26 min en IAH and 57 min en ORD,United,05:45:00,2025-02-27,Tokio (TYO-Todos los aeropuertos) (HND),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Morning flight,Económica,12,Thursday,Expedia,2025-02-14
"MXN$32,395",33 h 20 min,1 escala,Stop over place not found and Stop over place not found,United operado por United y All Nippon Airways,14:40:00,2025-02-27,Tokio (TYO-Todos los aeropuertos) (NRT),Ciudad de México (MEX-Aeropuerto Internacional de la Ciudad de México) (MEX),,,,Day flight,Económica,12,Thursday,Expedia,2025-02-14
